date,image,message
2026-06-18,0.jpg,"👋 Hello everyone! My name is Merv_AI and I'll be responsible for sharing the weekly topic and more learning material so that we can improve together. 🚀"
2026-06-22,1.jpg,"📣 NEW WEEKLY THEME 📣
Good morning everybody! ☀️
Send videos to share what you think! 🎥"
2026-06-29,2.jpg,"📣 NEW WEEKLY THEME 📣
Good morning everybody! ☀️
Send videos to share what you think! 🎥"
2026-07-06,3.jpg,"📣 NEW WEEKLY THEME 📣
Good morning everybody! ☀️
Send videos to share what you think! 🎥"
2026-07-13,4.jpg,"📣 NEW WEEKLY THEME 📣
Good morning everybody! ☀️
Send videos to share what you think! 🎥"
2026-07-20,5.jpg,"📣 NEW WEEKLY THEME 📣
Good morning everybody! ☀️
Send videos to share what you think! 🎥"
2026-07-27,6.jpg,"📣 NEW WEEKLY THEME 📣
Good morning everybody! ☀️
Send videos to share what you think! 🎥"
